rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
196,1570,so W40p0 EOF1 lag1,-0.01781195801182927,0.01781195801182927,1,1570
197,768,thetao W30p0 EOF9 lag24,0.01777539866213544,0.01777539866213544,1,768
198,1577,so W40p0 EOF8 lag1,0.017702150864158033,0.017702150864158033,1,1577
199,2382,so W10p0 EOF3 lag4,0.01768017362724561,0.01768017362724561,1,2382
200,20,thetao W60p0 EOF1 lag2,0.017678359600514913,0.017678359600514913,1,20
201,2525,so W10p0 EOF6 lag18,-0.017642848119103518,0.017642848119103518,1,2525
202,1848,so W30p0 EOF9 lag2,0.017640024179205138,0.017640024179205138,1,1848
203,553,thetao W30p0 EOF4 lag3,0.017597048018681925,0.017597048018681925,1,553
204,224,thetao W60p0 EOF5 lag22,0.01756968071772665,0.01756968071772665,1,224
205,1265,thetao W10p0 EOF6 lag22,-0.01751327312569276,0.01751327312569276,1,1265
206,2288,so W20p0 EOF9 lag20,0.017471674412369114,0.017471674412369114,1,2288
207,1299,thetao W10p0 EOF10 lag25,0.017352939856452535,0.017352939856452535,1,1299
208,1764,so W40p0 EOF5 lag20,0.017225913667374124,0.017225913667374124,1,1764
209,1273,thetao W10p0 EOF4 lag23,-0.01719607401552435,0.01719607401552435,1,1273
210,780,thetao W20p0 EOF1 lag0,-0.017166996276328124,0.017166996276328124,1,780
211,2544,so W10p0 EOF5 lag20,-0.017133597412898317,0.017133597412898317,1,2544
212,1459,so W60p0 EOF10 lag15,-0.01706785442127154,0.01706785442127154,1,1459
213,1252,thetao W10p0 EOF3 lag21,0.01704283463181602,0.01704283463181602,1,1252
214,1543,so W60p0 EOF4 lag24,-0.01703663413102209,0.01703663413102209,1,1543
215,147,thetao W60p0 EOF8 lag14,0.017006862022608978,0.017006862022608978,1,147
216,2505,so W10p0 EOF6 lag16,-0.01700127051205354,0.01700127051205354,1,2505
217,1463,so W60p0 EOF4 lag16,-0.016997800946843004,0.016997800946843004,1,1463
218,2125,so W20p0 EOF6 lag4,-0.01698082625048275,0.01698082625048275,1,2125
219,763,thetao W30p0 EOF4 lag24,0.016912162919812308,0.016912162919812308,1,763
220,56,thetao W60p0 EOF7 lag5,-0.016911938666930457,0.016911938666930457,1,56
221,1289,thetao W10p0 EOF10 lag24,0.0167601166391233,0.0167601166391233,1,1289
222,1491,so W60p0 EOF2 lag19,-0.016746255802839685,0.016746255802839685,1,1491
223,1192,thetao W10p0 EOF3 lag15,0.01673525721834974,0.01673525721834974,1,1192
224,1597,so W40p0 EOF8 lag3,-0.016669073644806322,0.016669073644806322,1,1597
225,1642,so W40p0 EOF3 lag8,-0.016661011103260945,0.016661011103260945,1,1642
226,1839,so W30p0 EOF10 lag1,-0.01658535617637126,0.01658535617637126,1,1839
227,2506,so W10p0 EOF7 lag16,0.01656386015510658,0.01656386015510658,1,2506
228,1311,so W60p0 EOF2 lag1,0.016495569926639482,0.016495569926639482,1,1311
229,1344,so W60p0 EOF5 lag4,-0.016489548400894456,0.016489548400894456,1,1344
230,2519,so W10p0 EOF10 lag17,0.016451794108572414,0.016451794108572414,1,2519
231,1630,so W40p0 EOF1 lag7,-0.01644957640918646,0.01644957640918646,1,1630
232,263,thetao W40p0 EOF4 lag0,-0.01638821990410049,0.01638821990410049,1,263
233,1354,so W60p0 EOF5 lag5,-0.016365401837978813,0.016365401837978813,1,1354
234,384,thetao W40p0 EOF5 lag12,0.01636293200691017,0.01636293200691017,1,384
235,1825,so W30p0 EOF6 lag0,-0.016361168807623096,0.016361168807623096,1,1825
236,2169,so W20p0 EOF10 lag8,-0.016329081882265457,0.016329081882265457,1,2169
237,2128,so W20p0 EOF9 lag4,0.016286516789031653,0.016286516789031653,1,2128
238,708,thetao W30p0 EOF9 lag18,0.016219186328567992,0.016219186328567992,1,708
239,157,thetao W60p0 EOF8 lag15,0.016166625057164534,0.016166625057164534,1,157
240,603,thetao W30p0 EOF4 lag8,-0.016121866674524615,0.016121866674524615,1,603
241,166,thetao W60p0 EOF7 lag16,-0.01611860651005183,0.01611860651005183,1,166
242,537,thetao W30p0 EOF8 lag1,0.01611454836478646,0.01611454836478646,1,537
243,1677,so W40p0 EOF8 lag11,-0.016093884815391944,0.016093884815391944,1,1677
244,2101,so W20p0 EOF2 lag2,0.016039214911206398,0.016039214911206398,1,2101
245,1496,so W60p0 EOF7 lag19,0.016005583212742192,0.016005583212742192,1,1496
246,1772,so W40p0 EOF3 lag21,0.015964773041953817,0.015964773041953817,1,1772
