N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
30,1,0.0001,-4.60080921358114,2.124240039550629,0.09306951163876512,1.6970423307777711,57.25,24.75,4
10,0,0.01,-5.0127206931963695,7.41096553261833,0.012080545599653408,0.7458735220373254,10.0,20.5,4
10,0,0.001,-5.118383963263018,7.592441877193897,0.01190041913163773,0.75120992988577,10.0,20.5,4
10,0,0.0001,-5.129220127398864,7.611056407356217,0.011882553629215122,0.751755094470552,10.0,20.5,4
30,3,0.01,-5.137692433569072,6.843886286144986,-0.000617745581639087,1.3893910447134763,103.75,25.0,4
30,3,0.1,-5.470276944902528,7.2062907095460735,-0.002814904094134707,1.3635995933926184,103.75,25.0,4
5,2,0.1,-5.654161655672906,5.938047972245042,0.12781008373693278,1.0534882670549715,17.25,22.25,4
30,0,0.1,-5.756440353312184,5.6237207020298,0.3083350772220447,1.170611401822663,30.0,24.25,4
30,0,0.0001,-5.762735672551309,5.43735044501812,0.3149098727070512,1.216680606495977,30.0,24.25,4
30,0,0.001,-5.7627428117476365,5.440057823519055,0.314845311575424,1.2161393291699882,30.0,24.25,4
30,0,0.01,-5.763013200238493,5.465877557246564,0.31420490724887795,1.2109227500961264,30.0,24.25,4
15,2,0.1,-6.527924003703192,4.210608639769294,0.0724416431454436,1.3738695225359423,46.25,23.0,4
5,2,0.01,-6.630381584335065,7.5391069832811,0.13582528018798518,1.1120913028810697,17.25,22.25,4
20,2,0.1,-6.713643657117439,5.142680979059232,0.1488679200817698,1.4569640101678003,59.5,24.25,4
5,2,0.001,-6.741841750588662,7.723444467743654,0.1368919099804155,1.1188570593013223,17.25,22.25,4
5,2,0.0001,-6.753071354137296,7.742027204173404,0.13700251732831809,1.1195427963117839,17.25,22.25,4
20,3,0.1,-6.948146595162665,5.310255232711327,0.037032491441312224,1.4219037371599452,76.0,24.75,4
40,2,0.001,-7.001382704543481,9.657172792044854,0.05066491766636184,1.934660937454685,99.75,25.0,4
15,2,0.01,-7.06094713514649,4.701727698802624,0.06289092967514699,1.4656617264351364,46.25,23.0,4
15,2,0.001,-7.156177115689937,4.810552904986151,0.06131923731108318,1.4855697525834906,46.25,23.0,4
15,2,0.0001,-7.166912674978481,4.823234642967883,0.06115142818883168,1.4878409756388027,46.25,23.0,4
20,2,0.01,-7.358117791574826,5.8533334392926815,0.14985459864695833,1.5534701749866238,59.5,24.25,4
20,2,0.001,-7.441011946069364,5.94895108178235,0.14985771962408478,1.5661665019057511,59.5,24.25,4
