n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
119,20,0.4653756661529316,0.738457735206254,-0.008021907820716878,1.0594991623159387,-0.7451639369408538,120,25,thetao W60p0 EOF2 lag6
120,20,0.47620910800683913,0.7431028645337723,0.010833441853907555,1.0598445103312493,-0.7494890547523788,120,25,thetao W20p0 EOF9 lag7
121,20,0.4739837948977773,0.7422162102631688,-0.0022253131090618217,1.0598714233290432,-0.7498261115210791,120,25,thetao W20p0 EOF3 lag14
122,20,0.47358771392036714,0.742064896904553,-0.0003960809774101737,1.0598742190515529,-0.7498611249819602,120,25,thetao W20p0 EOF9 lag11
123,20,0.4680007178853861,0.7391514116747953,-0.005586996034981029,1.0600673134667997,-0.7522794278465141,120,25,thetao W60p0 EOF2 lag5
124,20,0.4672895344285809,0.738874247995296,-0.0007111834568052089,1.0600489651996812,-0.7520496352506136,120,25,thetao W20p0 EOF9 lag12
125,20,0.4470053118557,0.7304669433429841,-0.020284222572880872,1.06029903424383,-0.7551814849471776,120,25,thetao W30p0 EOF2 lag0
126,20,0.4451216792212631,0.7297572034595123,-0.0018836326344369159,1.060375520181203,-0.7561393902351666,120,25,thetao W40p0 EOF5 lag15
127,20,0.44097047908746334,0.7280753977636166,-0.004151200133799771,1.0603528975290335,-0.7558560654974983,120,25,so W30p0 EOF9 lag17
128,20,0.44214273396418524,0.7285457628851095,0.001172254876721901,1.060359806933006,-0.7559425984580641,120,25,thetao W40p0 EOF5 lag16
129,20,0.45094326102943616,0.7322079611872337,0.008800527065250918,1.0604794349155542,-0.7574408121298737,120,25,thetao W20p0 EOF9 lag8
130,20,0.4512536751806576,0.7323303694767502,0.0003104141512214609,1.0604935592207205,-0.7576177040798703,120,25,thetao W40p0 EOF3 lag19
131,20,0.4524539930294702,0.7328767942501553,0.001200317848812582,1.0607147827339516,-0.7603882940789018,120,25,so W30p0 EOF1 lag7
132,20,0.45825341137749565,0.7354164006100825,0.005799418348025442,1.06085970694815,-0.7622033162373149,120,25,thetao W40p0 EOF5 lag18
133,20,0.3793843626887482,0.700797252405697,-0.07886904868874745,1.0603526336189029,-0.7558527603028524,120,25,thetao W10p0 EOF8 lag0
134,20,0.38710201127157096,0.7041393499795159,0.007717648582822756,1.0604342083719973,-0.7568743976134523,120,25,thetao W40p0 EOF5 lag20
135,20,0.3785927970653743,0.7006493025470507,-0.008509214206196658,1.0599039486716268,-0.7502334569590103,120,25,thetao W30p0 EOF8 lag14
136,20,0.3824339146459699,0.7021958716509695,0.0038411175805955766,1.0600070544896918,-0.7515247480347305,120,25,thetao W40p0 EOF5 lag17
137,20,0.38326741656353003,0.70270341967413,0.0008335019175601532,1.060040263496646,-0.7519406556441864,120,25,thetao W60p0 EOF2 lag8
138,20,0.3681388151769386,0.6968856560227715,-0.015128601386591445,1.0598921601631432,-0.7500858183864635,120,25,thetao W30p0 EOF8 lag12
