var,lon,mode0,lag,corr,abs_corr
thetao,W20p0,9,20,0.3291593573303108,0.3291593573303108
so,W10p0,4,20,0.32865182038576046,0.32865182038576046
thetao,W30p0,4,1,0.32842210935620414,0.32842210935620414
thetao,W10p0,7,2,-0.3283161173665621,0.3283161173665621
thetao,W10p0,8,0,-0.3278954339425413,0.3278954339425413
thetao,W60p0,3,21,-0.3277487993586285,0.3277487993586285
thetao,W20p0,0,4,0.3275317110370589,0.3275317110370589
thetao,W10p0,8,3,-0.3270412690158067,0.3270412690158067
so,W10p0,4,4,0.32703089126770024,0.32703089126770024
thetao,W20p0,2,25,-0.3257948657323551,0.3257948657323551
so,W30p0,0,7,0.32526167086969593,0.32526167086969593
thetao,W10p0,8,25,0.3250390362236157,0.3250390362236157
thetao,W30p0,7,9,-0.3234802058889234,0.3234802058889234
thetao,W20p0,0,2,0.3232596225461365,0.3232596225461365
so,W20p0,3,3,0.32208839504236236,0.32208839504236236
so,W40p0,1,5,0.32208089878081564,0.32208089878081564
thetao,W40p0,4,20,0.322043551272932,0.322043551272932
so,W20p0,2,18,0.3214988024535055,0.3214988024535055
thetao,W20p0,8,4,-0.32118846984504235,0.32118846984504235
so,W60p0,7,3,-0.3205431008995859,0.3205431008995859
so,W10p0,9,16,-0.31945854362503806,0.31945854362503806
thetao,W30p0,5,11,-0.3188934129181287,0.3188934129181287
so,W40p0,5,5,-0.3157360895616737,0.3157360895616737
thetao,W60p0,7,4,-0.31438349027211515,0.31438349027211515
thetao,W30p0,9,1,-0.3136899114737985,0.3136899114737985
so,W20p0,9,20,-0.3133402449049417,0.3133402449049417
so,W20p0,1,13,0.31279201371392407,0.31279201371392407
thetao,W10p0,8,2,-0.3117668430661374,0.3117668430661374
so,W10p0,2,15,-0.3113469789591039,0.3113469789591039
so,W60p0,0,9,0.31118256156059754,0.31118256156059754
thetao,W30p0,8,11,-0.31110987346273744,0.31110987346273744
so,W20p0,2,10,0.31054680817733893,0.31054680817733893
thetao,W10p0,5,16,0.30898047707420223,0.30898047707420223
thetao,W20p0,5,21,0.308947329672978,0.308947329672978
thetao,W40p0,6,12,0.3087070516308286,0.3087070516308286
thetao,W30p0,6,22,-0.30817471674032426,0.30817471674032426
so,W10p0,4,19,0.30742444598344015,0.30742444598344015
thetao,W20p0,2,24,-0.3071180453771959,0.3071180453771959
so,W20p0,1,14,0.3069761197500459,0.3069761197500459
so,W30p0,9,23,-0.3067421695252339,0.3067421695252339
so,W10p0,5,9,-0.3065049588711113,0.3065049588711113
thetao,W30p0,7,10,-0.3063581544587534,0.3063581544587534
thetao,W20p0,8,22,0.30611022171191155,0.30611022171191155
thetao,W40p0,6,11,0.3049557396648212,0.3049557396648212
so,W10p0,4,6,0.3042793978716955,0.3042793978716955
so,W10p0,4,22,0.3040256334307669,0.3040256334307669
so,W10p0,2,13,-0.30397467001635625,0.30397467001635625
so,W60p0,9,25,0.3037230294317125,0.3037230294317125
thetao,W10p0,3,25,0.30350985545540715,0.30350985545540715
thetao,W10p0,5,9,-0.3034000315528672,0.3034000315528672
so,W60p0,8,22,0.3024393523587614,0.3024393523587614
thetao,W30p0,8,21,-0.3019578644853323,0.3019578644853323
so,W10p0,2,14,-0.30163623590492383,0.30163623590492383
thetao,W60p0,2,8,0.30152909389274635,0.30152909389274635
thetao,W40p0,8,12,-0.3011543900198219,0.3011543900198219
thetao,W60p0,7,6,-0.3009832259473626,0.3009832259473626
so,W10p0,7,12,-0.3004533726372205,0.3004533726372205
thetao,W40p0,6,9,0.30044940166003836,0.30044940166003836
so,W60p0,0,25,-0.2999387430544689,0.2999387430544689
so,W10p0,4,23,0.29974636287170175,0.29974636287170175
thetao,W60p0,3,6,-0.29678547377874775,0.29678547377874775
so,W10p0,2,10,-0.29672085753859173,0.29672085753859173
so,W20p0,0,4,0.2964128689747452,0.2964128689747452
so,W40p0,2,7,-0.2961986419748142,0.2961986419748142
so,W20p0,4,8,0.29566538745366827,0.29566538745366827
so,W10p0,4,5,0.295479956279267,0.295479956279267
thetao,W30p0,6,21,-0.29540606648719636,0.29540606648719636
so,W10p0,7,11,-0.29500100520991746,0.29500100520991746
thetao,W60p0,9,23,0.29453006245702495,0.29453006245702495
so,W30p0,7,25,0.294306030454995,0.294306030454995
so,W20p0,6,3,-0.2940300804620121,0.2940300804620121
thetao,W60p0,6,0,0.29373411388401904,0.29373411388401904
so,W10p0,5,10,-0.293343547367841,0.293343547367841
thetao,W30p0,4,3,0.29314064468162,0.29314064468162
so,W40p0,5,15,0.29162849597377044,0.29162849597377044
so,W20p0,2,17,0.29141951834157875,0.29141951834157875
so,W10p0,2,11,-0.29127772138066055,0.29127772138066055
so,W20p0,9,21,-0.2911935784498799,0.2911935784498799
thetao,W60p0,9,6,-0.2901989265771355,0.2901989265771355
so,W10p0,9,17,-0.28996010394778593,0.28996010394778593
thetao,W20p0,4,20,0.28860766974439506,0.28860766974439506
thetao,W30p0,7,23,-0.2885569825676346,0.2885569825676346
so,W40p0,5,17,0.2885345544484791,0.2885345544484791
